clueweb12-0000tw-00-00009	Walt Disney World	/m/09b1k
clueweb12-0000tw-00-00034	CBS News	/m/01_8w2
clueweb12-0000tw-00-00067	St. Croix	/m/01hd63
clueweb12-0000tw-00-00037	Deutsche Boerse	/m/063dyk
clueweb12-0000tw-00-00054	Hayley Williams	/m/057xn_m
clueweb12-0000tw-00-00084	CTA	/m/025vyr
clueweb12-0000tw-00-00062	UFT	/m/0705j0
clueweb12-0000tw-00-00076	Shurikens	/m/011j2w
clueweb12-0000tw-00-00070	Xbox World	/m/0g2wj5
clueweb12-0000tw-00-00019	Medicaid	/m/0fh83
clueweb12-0000tw-00-00019	U.S.	/m/0f1r9
clueweb12-0000tw-00-00059	Gothamist	/m/0h7tps
clueweb12-0000tw-00-00070	Mass Effect 3	/m/04f2mnn
clueweb12-0000tw-00-00074	PSN	/m/0c1jl_
clueweb12-0000tw-00-00041	CBS News	/m/01_8w2
clueweb12-0000tw-00-00054	Manggarai	/m/09glnhk
clueweb12-0000tw-00-00062	NYPD	/m/01lvn4
clueweb12-0000tw-00-00066	Simmi	/m/063__x
clueweb12-0000tw-00-00089	IMHO	/m/04n32
clueweb12-0000tw-00-00057	Brian Jacob	/m/07t3gd
clueweb12-0000tw-00-00038	Deutsche Boerse	/m/063dyk
clueweb12-0000tw-00-00066	NY Times	/m/07k2d
clueweb12-0000tw-00-00057	Giglio	/m/02y4yg
clueweb12-0000tw-00-00062	Cornelius Vanderbilt	/m/01w6y_
clueweb12-0000tw-00-00039	WordPress	/m/0mzwd
clueweb12-0000tw-00-00073	Gotham City Impostors	/m/0gw_ffl
clueweb12-0000tw-00-00054	ABC World News	/m/01bnbs
clueweb12-0000tw-00-00083	control panel	/m/05gw3_
clueweb12-0000tw-00-00045	Login	/m/02pvq3t
clueweb12-0000tw-00-00071	eReader	/m/0hhssjq
clueweb12-0000tw-00-00086	UX	/m/04xsd1
clueweb12-0000tw-00-00039	CBS News	/m/01_8w2
clueweb12-0000tw-00-00054	ismail marzuki	/m/0h3wm55
clueweb12-0000tw-00-00070	Netflix	/m/017rf_
clueweb12-0000tw-00-00039	Total SA	/m/03d938
clueweb12-0000tw-00-00054	mahkota	/m/0dr14z
clueweb12-0000tw-00-00054	nama	/m/02hwn8h
clueweb12-0000tw-00-00035	CBS News	/m/01_8w2
clueweb12-0000tw-00-00054	Christina Aguilera	/m/0127s7
